Name,Display Name,Type,Description,Preferred Location,Retiring,Retiring Date
CMA3356,Double Decker Bus Charm,Inventory Item,Double Decker Bus Charm,Main Warehouse,Yes,31/12/2016
CMA3357,Gold Feather Charm,Inventory Item,Gold Feather Charm,Main Warehouse,No,
CMA3358,Dad In Silver Heart Charm,Inventory Item,Dad In Silver Heart Charm,Main Warehouse,Yes,31/12/2016
CMA3359,Aunt In Silver Heart Charm,Inventory Item,Aunt In Silver Heart Charm,Main Warehouse,No,
CMA3360,Gold Open Heart Charm,Inventory Item,Gold Open Heart Charm,Main Warehouse,No,
CMA3361,Gold Heart With Crystals Charm,Inventory Item,Gold Heart With Crystals Charm,Main Warehouse,No,
CMA3362,Silver Heart With Crystals Charm,Inventory Item,Silver Heart With Crystals Charm,Main Warehouse,No,
CMA3363,Rose Gold Cross With Crystals Charm,Inventory Item,Rose Gold Cross With Crystals Charm,Main Warehouse,No,
CMA3364,Silver Owl Charm,Inventory Item,Silver Owl Charm,Main Warehouse,No,
CMA3365,Silver My little boy Charm,Inventory Item,Silver My little boy Charm,Main Warehouse,Yes,30/4/2018
CMA3366,Silver My little girl Charm,Inventory Item,Silver My little girl Charm,Main Warehouse,Yes,30/4/2018
CMA3367,Silver Free To Be Me Charm,Inventory Item,Silver Free To Be Me Charm,Main Warehouse,No,
CMA3368,Silver Never Give Up Charm,Inventory Item,Silver Never Give Up Charm,Main Warehouse,No,
CMA3369,Silver Believe Charm,Inventory Item,Silver Believe Charm,Main Warehouse,Yes,31/12/2016
CMA3370,"Silver Dream, Believe, Achieve Charm",Inventory Item,"Silver  Dream, Believe, Achieve Charm",Main Warehouse,No,
CMA3371,Silver Dare To Be Awesome Charm,Inventory Item,Silver Dare To Be Awesome Charm,Main Warehouse,No,
CMA3372,Silver Never Stop Charm,Inventory Item,Silver Never Stop Charm,Main Warehouse,Yes,31/12/2016
CMA3373,Silver Don't look Back Charm,Inventory Item,Silver Don't look Back Charm,Main Warehouse,Yes,31/12/2016
CMA3374,Silver Whatever It Takes Charm,Inventory Item,Silver Whatever It Takes Charm,Main Warehouse,Yes,31/12/2016
CMA3375,Silver Stronger Than Yesterday Charm,Inventory Item,Silver Stronger Than Yesterday Charm,Main Warehouse,No,
CMA3376,Silver Will Power Charm,Inventory Item,Silver Will Power Charm,Main Warehouse,Yes,31/12/2016
CMA3377,Silver Be Happy Charm,Inventory Item,Silver Be Happy Charm,Main Warehouse,No,
CMA3378,Silver Faster Better Stronger Charm,Inventory Item,Silver Faster Better Stronger Charm,Main Warehouse,No,
CMA3379,Silver Typewriter Charm,Inventory Item,Silver Typewriter Charm,Main Warehouse,Yes,31/12/2016
CMA3380,Blue Button Charm,Inventory Item,Blue Button Charm,Main Warehouse,Yes,30/4/2018
CMA3381,Pink Button Charm,Inventory Item,Pink Button Charm,Main Warehouse,Yes,30/4/2018
CMA3382,Silver Rabbit Charm,Inventory Item,Silver Rabbit Charm,Main Warehouse,Yes,31/12/2016
CMA3383,Gold Heart With Music Notes Charm,Inventory Item,Gold Heart With Music Notes Charm,Main Warehouse,No,
CMA3384,Silver I Love U Postcard Charm,Inventory Item,Silver I Love U Postcard Charm,Main Warehouse,Yes,31/12/2016
CMA3385,Gold Phone Charm,Inventory Item,Gold Phone Charm,Main Warehouse,Yes,31/12/2016
CMA3386,Gold Perfume Bottle Charm,Inventory Item,Gold Perfume Bottle Charm,Main Warehouse,Yes,31/12/2016
CMA3387,Family In Pastel Heart Charm,Inventory Item,Family In Pastel Heart Charm,Main Warehouse,No,
CMA3388,Love In White Heart Charm,Inventory Item,Love In White Heart Charm,Main Warehouse,No,
CMA3389,Silver Watering Can Charm,Inventory Item,Silver Watering Can Charm,Main Warehouse,Yes,31/12/2016
CMA3390,Silver Wish Charm,Inventory Item,Silver Wish Charm,Main Warehouse,No,
CMA3391,Gold Karma Charm,Inventory Item,Gold Karma Charm,Main Warehouse,No,
CMA3392,Rose Gold Shoot For The Moon Charm,Inventory Item,Rose Gold Shoot For The Moon Charm,Main Warehouse,No,
CMA3393,Gold My Lucky Charm,Inventory Item,Gold My Lucky Charm,Main Warehouse,No,
CMA3394,Silver You & Me Charm,Inventory Item,Silver You & Me Charm,Main Warehouse,No,
CMA3395,Silver Dream Big Little One Pink Charm,Inventory Item,Silver Dream Big Little One Pink Charm,Main Warehouse,No,
CMA3396,Silver Dream Big Little One Blue Charm,Inventory Item,Silver Dream Big Little One Blue Charm,Main Warehouse,No,
CMA3397,Silver XO Charm,Inventory Item,Silver XO Charm,Main Warehouse,No,
CMA3398,"Gold My Life, My Way Charm",Inventory Item,"Gold My Life, My Way Charm",Main Warehouse,No,
CMA3399,Silver Our Family Charm,Inventory Item,Silver Our Family Charm,Main Warehouse,No,
CMA3400,Gold Our Family Charm,Inventory Item,Gold Our Family Charm,Main Warehouse,No,
CMA3401,Silver Forever Yours Charm,Inventory Item,Silver Forever Yours Charm,Main Warehouse,No,
CMA3402,Silver Reindeer Charm,Inventory Item,Silver Reindeer Charm,Main Warehouse,Yes,31/12/2015
CMA3403,Christmas Kangaroo Charm,Inventory Item,Christmas Kangaroo Charm,Main Warehouse,Yes,31/12/2015
CMA3404,Snowman Charm,Inventory Item,Snowman Charm,Main Warehouse,Yes,31/12/2015
CMA3405,Gold Baby's 1st Christmas Charm,Inventory Item,Gold Baby's 1st Christmas Charm,Main Warehouse,Yes,31/12/2015
CMA3406,Awareness Ribbon - Breast Cancer Charm,Inventory Item,Awareness Ribbon - Breast Cancer Charm,Main Warehouse,No,
CMA3407,Awareness Ribbon - Ovarian Cancer Charm,Inventory Item,Awareness Ribbon - Ovarian Cancer Charm,Main Warehouse,No,
CMA3408,Awareness Ribbon - Leukemia Charm,Inventory Item,Awareness Ribbon - Leukemia Charm,Main Warehouse,No,
CMA3409,Silver Dog Charm,Inventory Item,Silver Dog Charm,Main Warehouse,Yes,30/9/2015
CMA3410,Black Cat Charm,Inventory Item,Black Cat Charm,Main Warehouse,No,
CMA3411,Gold Arrow Charm,Inventory Item,Gold Arrow Charm,Main Warehouse,No,
CMA3412,Watermelon Charm,Inventory Item,Watermelon Charm,Main Warehouse,No,
CMA3413,Strawberry Charm,Inventory Item,Strawberry Charm,Main Warehouse,Yes,31/12/2016
CMA3414,Pink Star Charm,Inventory Item,Pink Star Charm,Main Warehouse,Yes,30/4/2018
CMA3415,Teal Star Charm,Inventory Item,Teal Star Charm,Main Warehouse,Yes,30/4/2018
CMA3416,Fox Charm,Inventory Item,Fox Charm,Main Warehouse,No,
CMA3417,Silver Wand Charm,Inventory Item,Silver Wand Charm,Main Warehouse,No,
CMA3418,Gold Candy Cane Charm,Inventory Item,Gold Candy Cane Charm,Main Warehouse,Yes,31/12/2016
CMA3419,Gingerbread Man Charm,Inventory Item,Gingerbread Man Charm,Main Warehouse,Yes,31/12/2017
CMA3420,Silver Lolly Charm,Inventory Item,Silver Lolly Charm,Main Warehouse,No,
CMB3421,Silver Kisses Charm,Inventory Item,Silver Kisses Charm,Main Warehouse,No,
CMB3422,Gold Love and Luck Charm,Inventory Item,Gold Love and Luck Charm,Main Warehouse,No,
CMB3423,Silver Nephew Charm,Inventory Item,Silver Nephew Charm,Main Warehouse,No,
CMB3424,40th Charm,Inventory Item,40th Charm,Main Warehouse,Yes,31/12/2016
CMB3425,Silver 2016 Charm,Inventory Item,Silver 2016 Charm,Main Warehouse,Yes,31/12/2017
CMB3426,Just Keep Swimming Fish Charm,Inventory Item,Just Keep Swimming Fish Charm,Main Warehouse,No,
CMB3427,Silver I Am Enough Charm,Inventory Item,Silver I Am Enough Charm,Main Warehouse,No,
CMB3428,Silver Choose Happy Charm,Inventory Item,Silver Choose Happy Charm,Main Warehouse,No,
CMB3429,Silver You Had Me At Hello Charm,Inventory Item,Silver You Had Me At Hello Charm,Main Warehouse,No,
CMB3430,Silver Made With Love Heart Charm,Inventory Item,Silver Made With Love Heart Charm,Main Warehouse,No,
CMB3431,"Silver You, Me, Us Charm",Inventory Item,"Silver You, Me, Us Charm",Main Warehouse,No,
CMB3432,Silver Owl Always Love You Charm,Inventory Item,Silver Owl Always Love You Charm,Main Warehouse,No,
CMB3433,Gold You Only Live Once Charm,Inventory Item,Gold You Only Live Once Charm,Main Warehouse,No,
CMB3434,"Silver Should, Could, Would... DID Charm",Inventory Item,"Silver Should, Could, Would... DID Charm",Main Warehouse,No,
CMB3435,Silver My One True Love Charm,Inventory Item,Silver My One True Love Charm,Main Warehouse,No,
CMB3436,Silver New Year. New Me Charm,Inventory Item,Silver New Year. New Me Charm,Main Warehouse,No,
CMB3437,Birthstone Girl January Charm,Inventory Item,Birthstone Girl January Charm,Main Warehouse,No,
CMB3438,Birthstone Girl February Charm,Inventory Item,Birthstone Girl February Charm,Main Warehouse,No,
CMB3439,Birthstone Girl March Charm,Inventory Item,Birthstone Girl March Charm,Main Warehouse,No,
CMB3440,Birthstone Girl April Charm,Inventory Item,Birthstone Girl April Charm,Main Warehouse,No,
CMB3441,Birthstone Girl May Charm,Inventory Item,Birthstone Girl May Charm,Main Warehouse,No,
CMB3442,Birthstone Girl June Charm,Inventory Item,Birthstone Girl June Charm,Main Warehouse,No,
CMB3443,Birthstone Girl July Charm,Inventory Item,Birthstone Girl July Charm,Main Warehouse,No,
CMB3444,Birthstone Girl August Charm,Inventory Item,Birthstone Girl August Charm,Main Warehouse,No,
CMB3445,Birthstone Girl September Charm,Inventory Item,Birthstone Girl September Charm,Main Warehouse,No,
CMB3446,Birthstone Girl October Charm,Inventory Item,Birthstone Girl October Charm,Main Warehouse,No,
CMB3447,Birthstone Girl November Charm,Inventory Item,Birthstone Girl November Charm,Main Warehouse,No,
CMB3448,Birthstone Girl December Charm,Inventory Item,Birthstone Girl December Charm,Main Warehouse,No,
CMB3449,Birthstone Boy January Charm,Inventory Item,Birthstone Boy January Charm,Main Warehouse,No,
CMB3450,Birthstone Boy February Charm,Inventory Item,Birthstone Boy February Charm,Main Warehouse,No,
CMB3451,Birthstone Boy March Charm,Inventory Item,Birthstone Boy March Charm,Main Warehouse,No,
CMB3452,Birthstone Boy April Charm,Inventory Item,Birthstone Boy April Charm,Main Warehouse,No,
CMB3453,Birthstone Boy May Charm,Inventory Item,Birthstone Boy May Charm,Main Warehouse,No,
CMB3454,Birthstone Boy June Charm,Inventory Item,Birthstone Boy June Charm,Main Warehouse,No,
CMB3455,Birthstone Boy July Charm,Inventory Item,Birthstone Boy July Charm,Main Warehouse,No,
CMB3456,Birthstone Boy August Charm,Inventory Item,Birthstone Boy August Charm,Main Warehouse,No,
CMB3457,Birthstone Boy September Charm,Inventory Item,Birthstone Boy September Charm,Main Warehouse,No,
CMB3458,Birthstone Boy October Charm,Inventory Item,Birthstone Boy October Charm,Main Warehouse,No,
CMB3459,Birthstone Boy November Charm,Inventory Item,Birthstone Boy November Charm,Main Warehouse,No,
CMB3460,Birthstone Boy December Charm,Inventory Item,Birthstone Boy December Charm,Main Warehouse,No,
CMB3461,Heart Shaped Birthstone January Charm,Inventory Item,Heart Shaped Birthstone January Charm,Main Warehouse,No,
CMB3462,Heart Shaped Birthstone February Charm,Inventory Item,Heart Shaped Birthstone February Charm,Main Warehouse,No,
CMB3463,Heart Shaped Birthstone March Charm,Inventory Item,Heart Shaped Birthstone March Charm,Main Warehouse,No,
CMB3464,Heart Shaped Birthstone April Charm,Inventory Item,Heart Shaped Birthstone April Charm,Main Warehouse,No,
CMB3465,Heart Shaped Birthstone May Charm,Inventory Item,Heart Shaped Birthstone May Charm,Main Warehouse,No,
CMB3466,Heart Shaped Birthstone June Charm,Inventory Item,Heart Shaped Birthstone June Charm,Main Warehouse,No,
CMB3467,Heart Shaped Birthstone July Charm,Inventory Item,Heart Shaped Birthstone July Charm,Main Warehouse,No,
CMB3468,Heart Shaped Birthstone August Charm,Inventory Item,Heart Shaped Birthstone August Charm,Main Warehouse,No,
CMB3469,Heart Shaped Birthstone September Charm,Inventory Item,Heart Shaped Birthstone September Charm,Main Warehouse,No,
CMB3470,Heart Shaped Birthstone October Charm,Inventory Item,Heart Shaped Birthstone October Charm,Main Warehouse,No,
CMB3471,Heart Shaped Birthstone November Charm,Inventory Item,Heart Shaped Birthstone November Charm,Main Warehouse,No,
CMB3472,Heart Shaped Birthstone December Charm,Inventory Item,Heart Shaped Birthstone December Charm,Main Warehouse,No,
CMB3473,Gold Anchor Charm,Inventory Item,Gold Anchor Charm,Main Warehouse,Yes,30/4/2018
CMB3474,Red Awareness Ribbon,Inventory Item,Red Awareness Ribbon,Main Warehouse,No,
CMB3475,Purple Awareness Ribbon Charm,Inventory Item,Purple Awareness Ribbon Charm,Main Warehouse,No,
CMB3476,Rose Gold Kiwi Bird Charm,Inventory Item,Rose Gold Kiwi Bird Charm,Main Warehouse,No,
CMB3477,Gold Emu Charm,Inventory Item,Gold Emu Charm,Main Warehouse,No,
CMB3478,Silver Grandkids in Heart Charm,Inventory Item,Silver Grandkids in Heart Charm,Main Warehouse,Yes,31/12/2017
CMB3479,Pink Nail polish Charm,Inventory Item,Pink Nail polish Charm,Main Warehouse,No,
CMB3480,Phone Booth Charm,Inventory Item,Phone Booth Charm,Main Warehouse,No,
CMB3481,Silver Bow Charm,Inventory Item,Silver Bow Charm,Main Warehouse,No,
CMB3482,Gold Bow Charm,Inventory Item,Gold Bow Charm,Main Warehouse,No,
CMB3483,Rose Gold Bow Charm,Inventory Item,Rose Gold Bow Charm,Main Warehouse,Yes,30/6/2016
CMB3484,Silver Crab Charm,Inventory Item,Silver Crab Charm,Main Warehouse,Yes,30/6/2016
CMB3485,Gold Ship Wheel Charm,Inventory Item,Gold Ship Wheel Charm,Main Warehouse,Yes,30/6/2016
CMB3486,Silver Tortoise Charm,Inventory Item,Silver Tortoise Charm,Main Warehouse,No,
CMB3487,Silver Fairy Charm,Inventory Item,Silver Fairy Charm,Main Warehouse,No,
CMB3488,Silver Glass Slipper Charm,Inventory Item,Silver Glass Slipper Charm,Main Warehouse,No,
CMB3489,Pink Hearts Charm,Inventory Item,Pink Hearts Charm,Main Warehouse,No,
CMB3490,Duck Charm,Inventory Item,Duck Charm,Main Warehouse,No,
CMB3491,Silver Dog Charm,Inventory Item,Silver Dog Charm,Main Warehouse,No,
CMB3492,Zebra Charm,Inventory Item,Zebra Charm,Main Warehouse,No,
CMB3493,Silver Ampersand Charm,Inventory Item,Silver Ampersand Charm,Main Warehouse,No,
CMB3494,Gold Ampersand Charm,Inventory Item,Gold Ampersand Charm,Main Warehouse,No,
CMB3495,Silver Wisdom Owl With Crystals Charm,Inventory Item,Silver Wisdom Owl With Crystals Charm,Main Warehouse,No,
CMB3496,Silver Bouquet Charm,Inventory Item,Silver Bouquet Charm,Main Warehouse,Yes,31/12/2016
CMB3497,Silver Infinite Love Charm,Inventory Item,Silver Infinite Love Charm,Main Warehouse,No,
CMB3498,Silver Rocking Horse Charm,Inventory Item,Silver Rocking Horse Charm,Main Warehouse,Yes,31/12/2016
CMB3499,Silver Infant Cup Charm,Inventory Item,Silver Infant Cup Charm,Main Warehouse,Yes,31/12/2016
CMB3500,Silver Stork Charm,Inventory Item,Silver Stork Charm ,Main Warehouse,Yes,31/12/2016
CMB3501,Silver Family Charm,Inventory Item,Silver Family Charm,Main Warehouse,No,
CMB3502,Silver Butterfly Origami Charm,Inventory Item,Silver Butterfly Origami Charm,Main Warehouse,Yes,31/12/2016
CMB3506,Silver Dog Origami Charm,Inventory Item,Silver Dog Origami Charm,Main Warehouse,Yes,31/12/2016
CMB3512,Silver Heart Origami Charm,Inventory Item,Silver Heart Origami Charm,Main Warehouse,Yes,31/12/2016
CMB3514,Silver Elephant Origami Charm,Inventory Item,Silver Elephant Origami Charm,Main Warehouse,Yes,3/1/2017
CMB3518,Silver Crane Origami Charm,Inventory Item,Silver Crane Origami Charm,Main Warehouse,No,
CMB3519,Silver Cat Origami Charm,Inventory Item,Silver Cat Origami Charm,Main Warehouse,Yes,3/1/2017
CMB3521,Rose Gold Snowflake Charm,Inventory Item,Rose Gold Snowflake Charm,Main Warehouse,Yes,31/12/2017
CMB3522,Gold Bauble Charm,Inventory Item,Gold Bauble Charm,Main Warehouse,Yes,31/12/2017
CMB3523,Silver Christmas Tree with Crystals Charm,Inventory Item,Silver Christmas Tree with Crystals Charm,Main Warehouse,Yes,31/12/2017
CMB3524,Gold Santa Sign Charm,Inventory Item,Gold Santa Sign Charm,Main Warehouse,Yes,31/12/2017
CMB3610,Lily Anne Logo Charm,Inventory Item,Lily Anne Logo Charm,Main Warehouse,No,
CMC3536,Silver 2017 Charm,Inventory Item,Silver 2017 Charm,Main Warehouse,Yes,31/12/2017
CMC3544,Rose Gold Flower Charm,Inventory Item,Rose Gold Flower Charm,Main Warehouse,Yes,31/5/2017
CMC3545,Silver Open Heart With Crystals Charm,Inventory Item,Silver Open Heart With Crystals Charm,Main Warehouse,Yes,30/4/2017
CMC3546,Gold Wish Bone With Crystal Charm,Inventory Item,Gold Wish Bone With Crystal Charm,Main Warehouse,Yes,30/4/2017
CMC3557,Teal Heart Charm,Inventory Item,Teal Heart,Main Warehouse,Yes,30/9/2017
CMC3561,Rose Gold and Teal Triangle Charm,Inventory Item,Rose Gold And Teal Triangle,Main Warehouse,No,
CMC3562,Gold and Pink Pretzel Heart Charm,Inventory Item,Gold And Pink Pretzel Heart,Main Warehouse,No,
CMC3563,Gold Bird With Crystal Charm,Inventory Item,Gold Bird With Crystal,Main Warehouse,No,
CMC3564,Gold Crystal Flower Charm,Inventory Item,Gold Crystal Flower,Main Warehouse,Yes,31/12/2017
CMC3567,Gold Leaf with Crystal Charm,Inventory Item,Gold Leaf With Crystal,Main Warehouse,No,
CMC3583,Silver A Mother's Love Charm,Inventory Item,Silver A Mother's Love Charm,Main Warehouse,Yes,30/4/2018
CMC3585,Rose Gold Best Mum Charm,Inventory Item,Rose Gold Best Mum Charm,Main Warehouse,Yes,30/4/2018
CMC3595,Gold Vintage Turquoise Stone Moon Charm,Inventory Item,Gold Vintage Turquoise Stone Moon Charm,Main Warehouse,No,
CMC3596,Gold Vintage Leaf Charm,Inventory Item,Gold Vintage Leaf Charm,Main Warehouse,No,
CMC3601,Silver North Star With Crystal Charm,Inventory Item,Silver North Star With Crystal Charm,Main Warehouse,No,
CMC3602,Silver I Love in Speech Bubble Charm,Inventory Item,Silver I Love in Speech Bubble Charm,Main Warehouse,No,
CMC3603,Gold Donut with Crystals Charm,Inventory Item,Gold Donut with Crystals Charm,Main Warehouse,No,
CMC3604,Gold Vintage Antler Charm,Inventory Item,Gold Vintage Antler Charm,Main Warehouse,No,
CMC3605,Origami Turtle Charm,Inventory Item,Origami Turtle Charm,Main Warehouse,No,
CMC3606,Silver Crab Charm,Inventory Item,Silver Crab Charm,Main Warehouse,No,
CMC3608,Gold Kissing Birds Charm,Inventory Item,Gold Kissing Birds Charm,Main Warehouse,Yes,31/3/2018
CMC3609,Silver Circle Family With Crystals Charm,Inventory Item,Silver Circle Family With Crystals Charm,Main Warehouse,Yes,31/12/2017
CMC3610,Gold and White Chevron Charm,Inventory Item,Gold and White Chevron Charm,Main Warehouse,Yes,31/3/2018
CMC3611,Gold Easter Bunny Charm,Inventory Item,Gold Easter Bunny Charm,Main Warehouse,Yes,31/3/2018
CMC3612,Easter Chick Charm,Inventory Item,Easter Chick Charm,Main Warehouse,Yes,31/3/2018
CMC3613,"Purple, Teal And Yellow Candy Egg Charm",Inventory Item,"Purple, Teal And Yellow Candy Egg Charm",Main Warehouse,Yes,31/3/2018
CMC3614,White Spotted Candy Egg Charm,Inventory Item,White Spotted Candy Egg Charm ,Main Warehouse,Yes,31/3/2018
CMC3615,Rose Gold Sun Charm,Inventory Item,Rose Gold Sun Charm,Main Warehouse,Yes,31/12/2017
CMC3616,Rose Gold Flower With Blue Crystals Charm,Inventory Item,Rose Gold Flower With Blue Crystals Charm,Main Warehouse,Yes,31/12/2017
CMC3617,Rose Gold Heart Charm,Inventory Item,Rose Gold Heart Charm,Main Warehouse,No,
CMC3618,Rose Gold Eye With Blue Crystals Charm,Inventory Item,Rose Gold Eye With Blue Crystals Charm,Main Warehouse,Yes,31/12/2017
CMC3619,Silver Hope With Crystals Charm,Inventory Item,Silver Hope Charm with Crystals,Main Warehouse,Yes,31/12/2017
CMC3620,Gold Destiny with Crystals Charm,Inventory Item,Gold Destiny Charm with Crystals,Main Warehouse,No,
CMC3621,Rose Gold Strength with Crystals Charm,Inventory Item,Rose Gold Strength Charm with Crystals,Main Warehouse,Yes,30/9/2017
CMC3622,Blue Dragonfly with Crystals Charm,Inventory Item,Blue Dragonfly with Crystals Charm,Main Warehouse,Yes,31/12/2017
CMC3625,Silver Circle Love With Crystals Charm,Inventory Item,Silver Circle Love With Crystals Charm,Main Warehouse,Yes,31/12/2017
CMD3700,Silver Whale Charm,Inventory Item,Silver Whale Charm,Main Warehouse,No,
CMD3701,Silver Fight Like a Girl Charm,Inventory Item,Silver Fight Like a Girl Charm,Main Warehouse,No,
CMD3702,Silver Bow Cut Out Charm,Inventory Item,Silver Bow Cut Out Charm,Main Warehouse,No,
CMD3703,Silver Wish Upon a Star Charm,Inventory Item,Silver Wish Upon a Star Charm,Main Warehouse,No,
CMD3704,Silver Flower with Crystals Charm,Inventory Item,Silver Flower with Crystals Charm,Main Warehouse,No,
CMD3705,Silver Hope in Pink Charm,Inventory Item,Silver Hope in Pink Charm,Main Warehouse,No,
CMD3706,Silver Donut with Crystals Charm,Inventory Item,Silver Donut with Crystals Charm,Main Warehouse,No,
Courier Satchels 310mm x405mm 500pcs,Courier Satchels 310mm x405mm 500pcs,Inventory Item,Courier Satchels 310mm x405mm 500pcs,Main Warehouse,No,
Courier Satchels 350mm x480mm 500pcs (similar to post 3kgs b,Courier Satchels 350mm x480mm 500pcs (similar to post 3kgs b,Inventory Item,Courier Satchels 350mm x480mm 500pcs (similar to post 3kgs bag),Main Warehouse,No,
CPKBAU2016,Beauty Promo Kit AU June 2016 N/A,Assembly/Bill of Materials,Beauty Promo Kit AU June 2016,Main Warehouse,Yes,31/12/2016
CPKBNZ2016,Beauty Promo Kit NZ June 2016 N/A,Assembly/Bill of Materials,Beauty Promo Kit NZ June 2016,Main Warehouse,No,
CPKJAU2016 N/A,Promo Kit Jewellery AU,Assembly/Bill of Materials,Promo Kit Jewellery AU,Main Warehouse,No,
CPKJAU2016-1 N/A,Jewellery Promo Kit July 2016,Assembly/Bill of Materials,Jewellery Promo Kit July 2016,Main Warehouse,No,
CPKJNZ2016 N/A,Promo Kit Jewellery NZ,Assembly/Bill of Materials,Promo Kit Jewellery NZ,Main Warehouse,No,
CPKJNZ2016-1,Jewellery Promo Kit July 2016,Assembly/Bill of Materials,Jewellery Promo Kit July 2016,Main Warehouse,No,
CPP12015,Affirmation Bracelet Pack,Assembly/Bill of Materials,Affirmation Bracelet Pack,Main Warehouse,Yes,
CPP12016,New Jewellery Line Pack,Assembly/Bill of Materials,New Jewellery Line Pack,Main Warehouse,Yes,30/9/2016
CPP12017,Locket Charms + Window Plate Pack,Kit/Package,Locket Charms + Window Plate Pack,,No,
CPP22015,Set Stone Pack,Assembly/Bill of Materials,Set Stone Pack,Main Warehouse,Yes,
CPP22016,New Samples Pack,Assembly/Bill of Materials,New Samples Pack,Main Warehouse,Yes,30/9/2016
CPP22017,,Kit/Package,Bracelet + Bracelet Charm Pack,,No,
CPP32015,"Chain, Charm & Accent Charm Pack",Assembly/Bill of Materials,"Chain, Charm & Accent Charm Pack",Main Warehouse,Yes,
CPP32016,Refresh my POS Pack,Assembly/Bill of Materials,Refresh my POS Pack,Main Warehouse,No,
CPP32017,Inspired By Mel Collection Pack,Kit/Package,Inspired By Mel Collection Pack,,No,
CPP42015,Pastel Pack,Assembly/Bill of Materials,Pastel Pack,Main Warehouse,Yes,
CPP42016,Pack Me Pretty Pack,Assembly/Bill of Materials,Pack Me Pretty Pack,Main Warehouse,Yes,31/1/2017
CPP42017,,Kit/Package,POS Pack,,No,
CPP52015,Plate Pack,Assembly/Bill of Materials,Plate Pack,Main Warehouse,Yes,
CPP52016,Early Bird Ticket Pack,Assembly/Bill of Materials,Early Bird Ticket Pack,Main Warehouse,No,
CPP52017,Pre-Order Conference Roll Out Sample Pack,Kit/Package,Pre-Order Conference Roll Out Sample Pack,,No,
CPP62015,Point Of Sale Pack,Assembly/Bill of Materials,Point Of Sale Pack,Main Warehouse,No,
CPP6NZ2015,Point Of Sale Pack,Assembly/Bill of Materials,Point of Sale Pack,Main Warehouse,No,
CYL2015,Colour Your Life Product Pack,Kit/Package,Colour Your Life Product Pack,,,
DCSB1 (retired),DC Kit Shipping Box {Obsolete},Inventory Item,DC Kit Shipping Box,Main Warehouse,No,
DCSB2 (retired),DC Kit Shipping Box,Inventory Item,DC Kit Shipping Box {New},Main Warehouse,Yes,8/6/2016
DCSB3 (retired),DC Kit Christmas Shipping Box,Inventory Item,DC Kit Christmas Shipping Box ,Main Warehouse,No,
DCSB4,Jewellery Kit Box June 2016,Inventory Item,DC Kit Box June 2016,Main Warehouse,No,
DCSB5,Kit Box,Inventory Item,Beauty Kit Box June 2016,Main Warehouse,No,
DCSB6,Large JB Box,Inventory Item,Beauty Bar Box,Main Warehouse,No,
DECPP2015,December Product Pack,Assembly/Bill of Materials,December Product Pack,Main Warehouse,No,
DECPPH2015,December Product Pack with Hostess Exclusive,Kit/Package,December Product Pack with Hostess Exclusive,,No,
DIARY2015,DIARY2015,Inventory Item,DIARY2015,Main Warehouse,Yes,31/12/2015
EB1001,Essentials Bundle,Assembly/Bill of Materials,Essentials Bundle,Main Warehouse,Yes,15/5/2017
EC1000,"Silver Open Circle Earrings: connection, gentleness, reliabi",Inventory Item,"Silver Open Circle Earrings: connection, gentleness, reliability",Main Warehouse,No,
EC1001,"Gold V Earrings: freedom, hope, joy",Inventory Item,"Gold V Earrings: freedom, hope, joy",Main Warehouse,No,
EC1002,"Silver Arrow Earrings: life, abundance, truth",Inventory Item,"Silver Arrow Earrings: life, abundance, truth",Main Warehouse,No,
EC1003,"Rose Gold Tear Drop Earrings: unity, tranquility, knowledge",Inventory Item,"Rose Gold Tear Drop Earrings: unity, tranquility, knowledge",Main Warehouse,No,
EC1004,"Gold Open Circle Earrings: connection, gentleness, reliabili",Inventory Item,"Gold Open Circle Earrings: connection, gentleness, reliability",Main Warehouse,No,
EC1005,"Rose Gold Open Circle Earrings: connection, gentleness, reli",Inventory Item,"Rose Gold Open Circle Earrings: connection, gentleness, reliability",Main Warehouse,No,
EC1006,"Silver V Earrings: freedom, hope, joy",Inventory Item,"Silver V Earrings: freedom, hope, joy",Main Warehouse,No,
EC1007,"Rose Gold V Earrings: freedom, hope, joy",Inventory Item,"Rose Gold V Earrings: freedom, hope, joy",Main Warehouse,No,
EC1008,"Gold Arrow Earrings: life, abundance, truth",Inventory Item,"Gold Arrow Earrings: life, abundance, truth",Main Warehouse,No,
EC1009,"Rose Gold Arrow Earrings: life, abundance, truth",Inventory Item,"Rose Gold Arrow Earrings: life, abundance, truth",Main Warehouse,No,
EC1010,"Silver Tear Drop Earrings: unity, tranquility, knowledge",Inventory Item,"Silver Tear Drop Earrings: unity, tranquility, knowledge",Main Warehouse,No,
EC1011,"Gold Tear Drop Earrings: unity, tranquility, knowledge",Inventory Item,"Gold Tear Drop Earrings: unity, tranquility, knowledge",Main Warehouse,Yes,31/12/2017
EC1101,Rose Gold Heart Earrings: Love. Hope. Beauty,Inventory Item,Rose Gold Heart Earrings: Love. Hope. Beauty,Main Warehouse,No,
EC1102,Rose Gold Flower Earrings: Renew. Focused. Connection,Inventory Item,Rose Gold Flower Earrings: Renew. Focused. Connection,Main Warehouse,No,
ECB1000,Earring Packaging for EC1000,Inventory Item,Earring Packaging for EC1000,Main Warehouse,No,
