Name,Display Name,Type,Description,Preferred Location,Retiring,Retiring Date
CM3144,Heart Shaped Birthstone August Charm,Inventory Item,Heart Shaped Birthstone August Charm,Main Warehouse,Yes,31/12/2015
CM3145,Heart Shaped Birthstone September Charm,Inventory Item,Heart Shaped Birthstone September Charm,Main Warehouse,Yes,31/12/2015
CM3146,Heart Shaped Birthstone October Charm,Inventory Item,Heart Shaped Birthstone October Charm,Main Warehouse,Yes,31/12/2015
CM3147,Heart Shaped Birthstone November Charm,Inventory Item,Heart Shaped Birthstone November Charm,Main Warehouse,Yes,31/12/2015
CM3148,Heart Shaped Birthstone December Charm,Inventory Item,Heart Shaped Birthstone December Charm,Main Warehouse,Yes,31/12/2015
CM3149,Pink Crystal Flower Charm,Inventory Item,Pink Crystal Flower Charm,Main Warehouse,No,
CM3150,Silver Diamond Ring Charm,Inventory Item,Silver Diamond Ring Charm,Main Warehouse,No,
CM3151,Baby Girl Feet in Heart Charm,Inventory Item,Baby Girl Feet in Heart Charm,Main Warehouse,No,
CM3152,Sister in Silver Heart Charm,Inventory Item,Sister in Silver Heart Charm,Main Warehouse,No,
CM3153,Sister in Rose Gold Heart Charm,Inventory Item,Sister in Rose Gold Heart Charm,Main Warehouse,Yes,31/12/2016
CM3154,Pink Crystal Heart Charm,Inventory Item,Pink Crystal Heart Charm,Main Warehouse,No,
CM3155,Gold Camera,Inventory Item,Gold Camera,Main Warehouse,No,
CM3156,Sea Turtle with Crystals Charm,Inventory Item,Sea Turtle with Crystals Charm,Main Warehouse,No,
CM3157,Dolphin Charm,Inventory Item,Dolphin Charm,Main Warehouse,Yes,31/12/2016
CM3158,Starfish Charm,Inventory Item,Starfish Charm,Main Warehouse,No,
CM3159,Autism Awareness Heart Charm,Inventory Item,Autism Awareness Heart Charm,Main Warehouse,No,
CM3160,Black High Heel Charm,Inventory Item,Black High Heel Charm,Main Warehouse,Yes,31/12/2016
CM3161,Flower Pot Charm,Inventory Item,Flower Pot Charm,Main Warehouse,Yes,31/12/2016
CM3162,Horseshoe with Red Crystals Charm,Inventory Item,Horseshoe with Red Crystals Charm,Main Warehouse,No,
CM3163,Vintage Angel Wing Charm,Inventory Item,Vintage Angel Wing Charm,Main Warehouse,Yes,31/12/2016
CM3164,Owl Charm,Inventory Item,Owl Charm,Main Warehouse,Yes,31/12/2018
CM3165,Sewing Machine Charm,Inventory Item,Sewing Machine Charm,Main Warehouse,No,
CM3166,Ichthys Fish Charm,Inventory Item,Ichthys Fish Charm,Main Warehouse,Yes,31/3/2018
CM3167,Dream in Silver Heart Charm,Inventory Item,Dream in Silver Heart Charm,Main Warehouse,No,
CM3168,Love My Cat Charm,Inventory Item,Love My Cat Charm,Main Warehouse,Yes,31/12/2016
CM3169,Love My Dog Charm,Inventory Item,Love My Dog Charm,Main Warehouse,Yes,31/12/2016
CM3170,Silver Grandpa Charm,Inventory Item,Silver Grandpa Charm,Main Warehouse,Yes,31/12/2016
CM3171,Designer Handbag Charm,Inventory Item,Designer Handbag Charm,Main Warehouse,Yes,31/12/2016
CM3172,LoVe Charm,Inventory Item,LoVe Charm,Main Warehouse,Yes,31/12/2016
CM3173,Laugh in Silver Heart Charm,Inventory Item,Laugh in Silver Heart Charm,Main Warehouse,Yes,31/12/2016
CM3174,Pink Frangipani Charm,Inventory Item,Pink Frangipani Charm,Main Warehouse,Yes,31/12/2016
CM3175,Purple Butterfly Charm,Inventory Item,Purple Butterfly Charm,Main Warehouse,No,
CM3176,Palm Tree Charm,Inventory Item,Palm Tree Charm,Main Warehouse,Yes,31/12/2016
CM3177,Dog Paw with Crystals Charm,Inventory Item,Dog Paw with Crystals Charm,Main Warehouse,No,
CM3178,Bike Charm,Inventory Item,Bike Charm,Main Warehouse,Yes,31/12/2016
CM3179,Baby Boy Feet in Heart Charm,Inventory Item,Baby Boy Feet in Heart Charm,Main Warehouse,No,
CM3180,2014 Charm,Inventory Item,2014 Charm,Main Warehouse,Yes,31/12/2016
CM3181,Treble Clef Charm,Inventory Item,Treble Clef Charm,Main Warehouse,No,
CM3182,Teachers Apple Charm,Inventory Item,Teachers Apple Charm,Main Warehouse,No,
CM3183,Guitar Charm,Inventory Item,Guitar Charm,Main Warehouse,No,
CM3184,Bee Charm,Inventory Item,Bee Charm,Main Warehouse,Yes,1/5/2015
CM3185,Cherries Charm,Inventory Item,Cherries Charm,Main Warehouse,Yes,31/12/2016
CM3186,Vintage Rose Charm,Inventory Item,Vintage Rose Charm,Main Warehouse,No,
CM3187,Vintage Cross Charm,Inventory Item,Vintage Cross Charm,Main Warehouse,Yes,31/3/2018
CM3188,Vintage Sparrow Charm,Inventory Item,Vintage Sparrow Charm,Main Warehouse,Yes,31/12/2016
CM3189,Vintage Hummingbird Charm,Inventory Item,Vintage Hummingbird Charm,Main Warehouse,Yes,1/5/2015
CM3190,Seashell Charm,Inventory Item,Seashell Charm,Main Warehouse,Yes,31/12/2016
CM3191,Seahorse Charm,Inventory Item,Seahorse Charm,Main Warehouse,Yes,31/12/2016
CM3192,Silver Starfish Charm,Inventory Item,Silver Starfish Charm,Main Warehouse,Yes,1/5/2015
CM3193,Ballet Slippers Charm,Inventory Item,Ballet Slippers Charm,Main Warehouse,No,
CM3194,Rose Gold Butterfly with Crystals Charm,Inventory Item,Rose Gold Butterfly with Crystals Charm,Main Warehouse,No,
CM3195,Gold Butterfly with Crystals Charm,Inventory Item,Gold Butterfly with Crystals Charm,Main Warehouse,Yes,31/12/2017
CM3196,Dragonfly Charm,Inventory Item,Dragonfly Charm,Main Warehouse,No,
CM3197,Angel Fish Charm,Inventory Item,Angel Fish Charm,Main Warehouse,Yes,1/5/2015
CM3198,Dog Paw Print Charm,Inventory Item,Dog Paw Print Charm,Main Warehouse,Yes,1/5/2015
CM3199,Cowgirl boot Charm,Inventory Item,Cowgirl boot Charm,Main Warehouse,No,
CM3200,Tutu Charm,Inventory Item,Tutu Charm,Main Warehouse,No,
CM3201,Ice Skating Shoe Charm,Inventory Item,Ice Skating Shoe Charm,Main Warehouse,No,
CM3202,Gold Peace Sign Charm,Inventory Item,Gold Peace Sign Charm,Main Warehouse,Yes,31/12/2016
CM3203,Cupcake Charm,Inventory Item,Cupcake Charm,Main Warehouse,Yes,31/12/2017
CM3204,Gold Scissors Charm,Inventory Item,Gold Scissors Charm,Main Warehouse,Yes,31/12/2016
CM3205,Vintage Movie Camera Charm,Inventory Item,Vintage Movie Camera Charm,Main Warehouse,Yes,31/12/2016
CM3206,Just Married Charm,Inventory Item,Just Married Charm,Main Warehouse,Yes,30/6/2015
CM3207,Forever Family Charm,Inventory Item,Forever Family Charm,Main Warehouse,No,
CM3208,Teal Thongs Charm,Inventory Item,Teal Thongs Charm,Main Warehouse,Yes,31/12/2016
CM3209,Tennis Rackets Charm,Inventory Item,Tennis Rackets Charm,Main Warehouse,Yes,1/5/2015
CM3210,Chocolate Bar Charm,Inventory Item,Chocolate Bar Charm,Main Warehouse,Yes,31/12/2016
CM3211,Headphones Charm,Inventory Item,Headphones Charm,Main Warehouse,Yes,31/12/2016
CM3212,Love to Read Charm,Inventory Item,Love to Read Charm,Main Warehouse,Yes,31/12/2017
CM3213,Silver Elephant Charm,Inventory Item,Silver Elephant Charm,Main Warehouse,No,
CM3214,Gold Elephant Charm,Inventory Item,Gold Elephant Charm,Main Warehouse,No,
CM3215,Flute Charm,Inventory Item,Flute Charm,Main Warehouse,Yes,1/5/2015
CM3216,Eiffel Tower Charm,Inventory Item,Eiffel Tower Charm,Main Warehouse,No,
CM3217,Lady Bug Charm,Inventory Item,Lady Bug Charm,Main Warehouse,Yes,31/12/2016
CM3218,Swimming Charm,Inventory Item,Swimming Charm,Main Warehouse,Yes,30/11/2016
CM3219,Suitcase Charm,Inventory Item,Suitcase Charm,Main Warehouse,Yes,31/12/2017
CM3220,Registered Nurse Charm,Inventory Item,Registered Nurse Charm,Main Warehouse,Yes,31/12/2016
CM3221,Teacup Charm,Inventory Item,Teacup Charm,Main Warehouse,Yes,31/12/2016
CM3222,Family in Silver Heart Charm,Inventory Item,Family in Silver Heart Charm,Main Warehouse,No,
CM3223,Family in Gold Heart Charm,Inventory Item,Family in Gold Heart Charm,Main Warehouse,No,
CM3224,Gold Oval Faith Charm,Inventory Item,Gold Oval Faith Charm,Main Warehouse,Yes,31/3/2018
CM3225,Dad in Red Heart Charm,Inventory Item,Dad in Red Heart Charm,Main Warehouse,Yes,11/1/2017
CM3226,Mum in Red Heart Charm,Inventory Item,Mum in Red Heart Charm,Main Warehouse,Yes,31/12/2017
CM3227,Sweet 16 Charm,Inventory Item,Sweet 16 Charm,Main Warehouse,Yes,31/12/2016
CM3228,BFF Charm,Inventory Item,BFF Charm,Main Warehouse,Yes,31/12/2016
CM3229,Cocktail Charm,Inventory Item,Cocktail Charm,Main Warehouse,Yes,31/12/2016
CM3230,Lipstick Charm,Inventory Item,Lipstick Charm,Main Warehouse,No,
CM3231,Gold Diamond Ring Charm,Inventory Item,Gold Diamond Ring Charm,Main Warehouse,No,
CM3232,Pink Running Shoe Charm,Inventory Item,Pink Running Shoe Charm,Main Warehouse,Yes,31/12/2016
CM3233,Black Running Shoe Charm,Inventory Item,Black Running Shoe Charm,Main Warehouse,Yes,31/12/2016
CM3234,Snowflake Charm,Inventory Item,Snowflake Charm,Main Warehouse,Yes,31/12/2017
CM3235,Candy Cane Charm,Inventory Item,Candy Cane Charm,Main Warehouse,No,
CM3236,Silver Infinity with Crystals Charm,Inventory Item,Silver Infinity with Crystals Charm,Main Warehouse,No,
CM3237,Gold Infinity with Crystals Charm,Inventory Item,Gold Infinity with Crystals Charm,Main Warehouse,No,
CM3238,Gold Dog Bone with Crystals Charm,Inventory Item,Gold Dog Bone with Crystals Charm,Main Warehouse,No,
CM3239,Birthday Cake Charm,Inventory Item,Birthday Cake Charm,Main Warehouse,Yes,31/12/2016
CM3241,Gold Cross with Crystals Charm,Inventory Item,Gold Cross with Crystals Charm,Main Warehouse,No,
CM3242,Nana in Silver Heart Charm,Inventory Item,Nana in Silver Heart Charm,Main Warehouse,No,
CM3243,Nana in Gold Heart Charm,Inventory Item,Nana in Gold Heart Charm,Main Warehouse,No,
CM3244,Dog Charm,Inventory Item,Dog Charm,Main Warehouse,No,
